"zone","region","district","file","status","min_value","max_value","na_cells","zero_cells","one_cells"
"Somaliland","Togdheer","Aynabo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__togdheer__aynabo__friction_100m.tif","saved",0,1,0,1074438,7818
"Somaliland","Sahil","Sheikh","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sahil__sheikh__friction_100m.tif","saved",0,1,0,351810,4316
"Somaliland","Togdheer","Odwayne","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__togdheer__odwayne__friction_100m.tif","saved",0,1,0,409057,5888
"South West State","Bay","Burhakaba","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bay__burhakaba__friction_100m.tif","saved",0,1,0,2878423,10936
"South West State","Lower Shabelle","Qoryoley","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__qoryoley__friction_100m.tif","saved",0,1,0,296413,3424
"South West State","Lower Shabelle","Sablale","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__sablale__friction_100m.tif","saved",0,1,0,1169036,6766
"Jubaland State","Middle Juba","Buaale","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__middle_juba__buaale__friction_100m.tif","saved",0,1,0,907431,7335
"Jubaland State","Lower Juba","Afmadow","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__afmadow__friction_100m.tif","saved",0,1,0,2406511,16459
"Hir-Shabelle State","Hiran","Jalalaqsi","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__hiran__jalalaqsi__friction_100m.tif","saved",0,1,0,303856,4386
"Hir-Shabelle State","Middle Shabelle","Adale","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__adale__friction_100m.tif","saved",0,1,0,604980,3766
"South West State","Lower Shabelle","Wanleweyne","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__wanleweyne__friction_100m.tif","saved",0,1,0,243521,4161
"South West State","Lower Shabelle","Kurtunwaarey","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__kurtunwaarey__friction_100m.tif","saved",0,1,0,450900,4072
"South West State","Bay","Dinsoor","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bay__dinsoor__friction_100m.tif","saved",0,1,0,1445012,7806
"South West State","Bay","Qansah Dheere","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bay__qansah_dheere__friction_100m.tif","saved",0,1,0,185281,3548
"Jubaland State","Gedo","Belet Hawa","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__belet_hawa__friction_100m.tif","saved",0,1,0,369095,3545
"Jubaland State","Gedo","El Wak","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__el_wak__friction_100m.tif","saved",0,1,0,1024458,5930
"Jubaland State","Gedo","Bardera","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__bardera__friction_100m.tif","saved",0,1,0,2945737,13783
"Jubaland State","Lower Juba","Badhadhe","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__badhadhe__friction_100m.tif","saved",0,1,0,1719475,7742
"Galmudug State","Galgadud","Adado","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__adado__friction_100m.tif","saved",0,1,0,692379,5887
"Jubaland State","Lower Juba","Kismayo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__kismayo__friction_100m.tif","saved",0,1,0,1329671,9610
"South West State","Lower Shabelle","Marka","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__marka__friction_100m.tif","saved",0,1,0,245139,2790
"South West State","Lower Shabelle","Brava","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__brava__friction_100m.tif","saved",0,1,0,982010,4386
"Jubaland State","Middle Juba","Jilib East","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__middle_juba__jilib_east__friction_100m.tif","saved",0,1,0,618655,4680
"Jubaland State","Lower Juba","Jamaame West","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__jamaame_west__friction_100m.tif","saved",0,1,0,251915,6825
"Jubaland State","Lower Juba","Jamaame East","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__jamaame_east__friction_100m.tif","saved",0,1,0,155884,2608
"Jubaland State","Middle Juba","Sakow","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__middle_juba__sakow__friction_100m.tif","saved",0,1,0,360946,4694
"Jubaland State","Middle Juba","Salagle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__middle_juba__salagle__friction_100m.tif","saved",0,1,0,715252,5831
"Jubaland State","Gedo","Burdubo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__burdubo__friction_100m.tif","saved",0,1,0,538540,5909
"South West State","Bay","Berdale","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bay__berdale__friction_100m.tif","saved",0,1,0,548011,5061
"South West State","Bay","Baidoa","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bay__baidoa__friction_100m.tif","saved",0,1,0,1462787,7941
"South West State","Lower Shabelle","Afgoi","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__afgoi__friction_100m.tif","saved",0,1,0,115399,3080
"Hir-Shabelle State","Middle Shabelle","Balad","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__balad__friction_100m.tif","saved",0,1,0,95834,4866
"Hir-Shabelle State","Middle Shabelle","Warsheikh","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__warsheikh__friction_100m.tif","saved",0,1,0,169869,2585
"Hir-Shabelle State","Middle Shabelle","Jowhar","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__jowhar__friction_100m.tif","saved",0,1,0,165889,5096
"Hir-Shabelle State","Middle Shabelle","Mahaday","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__mahaday__friction_100m.tif","saved",0,1,0,368313,5013
"Hir-Shabelle State","Middle Shabelle","Runingod","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__runingod__friction_100m.tif","saved",0,1,0,319554,2742
"Hir-Shabelle State","Middle Shabelle","Aden Yabal","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__aden_yabal__friction_100m.tif","saved",0,1,0,615052,4728
"Galmudug State","Galgadud","Elgaras","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__elgaras__friction_100m.tif","saved",0,1,0,719952,7375
"Hir-Shabelle State","Hiran","Bulo Burti","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__hiran__bulo_burti__friction_100m.tif","saved",0,1,0,1320738,9088
"Hir-Shabelle State","Hiran","Mahas","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__hiran__mahas__friction_100m.tif","saved",0,1,0,866098,5396
"Hir-Shabelle State","Hiran","Belet Weyne","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__hiran__belet_weyne__friction_100m.tif","saved",0,1,0,1053659,8045
"Hir-Shabelle State","Hiran","Mataban","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__hiran__mataban__friction_100m.tif","saved",0,1,0,719909,4725
"Galmudug State","Galgadud","Guriel","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__guriel__friction_100m.tif","saved",0,1,0,167259,2879
"Galmudug State","Galgadud","Dusamreb","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__dusamreb__friction_100m.tif","saved",0,1,0,945326,6786
"Galmudug State","Galgadud","El Bur","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__el_bur__friction_100m.tif","saved",0,1,0,969809,7566
"Galmudug State","Galgadud","Galad","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__galad__friction_100m.tif","saved",0,1,0,299470,3369
"Galmudug State","Galgadud","Galhareeri","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__galhareeri__friction_100m.tif","saved",0,1,0,494914,4694
"Galmudug State","Galgadud","Abudwaq","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__abudwaq__friction_100m.tif","saved",0,1,0,260153,2952
"Galmudug State","Galgadud","Balanbale","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__balanbale__friction_100m.tif","saved",0,1,0,643583,4055
"Jubaland State","Gedo","Luuq","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__luuq__friction_100m.tif","saved",0,1,0,632918,6798
"Banadir","Banadir","Shangani","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__shangani__friction_100m.tif","saved",0,1,0,42,40
"Banadir","Banadir","Hamar Jabjab","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__hamar_jabjab__friction_100m.tif","saved",0,1,0,161,101
"Banadir","Banadir","Wardegly","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__wardegly__friction_100m.tif","saved",0,1,0,311,166
"Banadir","Banadir","Yaqshid","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__yaqshid__friction_100m.tif","saved",0,1,0,4640,523
"Banadir","Banadir","Heliwa","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__heliwa__friction_100m.tif","saved",0,1,0,8059,638
"Banadir","Banadir","Karan","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__karan__friction_100m.tif","saved",0,1,0,942,293
"Banadir","Banadir","Kahda","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__kahda__friction_100m.tif","saved",0,1,0,1905,358
"Banadir","Banadir","Danyile","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__danyile__friction_100m.tif","saved",0,1,0,5664,597
"Banadir","Banadir","Shibis","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__shibis__friction_100m.tif","saved",0,1,0,51,68
"Banadir","Banadir","Hodan","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__hodan__friction_100m.tif","saved",0,1,0,603,192
"Banadir","Banadir","Abdul Aziz","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__abdul_aziz__friction_100m.tif","saved",0,1,0,639,124
"Banadir","Banadir","Hawal Wadag","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__hawal_wadag__friction_100m.tif","saved",0,1,0,314,132
"Banadir","Banadir","Madina","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__madina__friction_100m.tif","saved",0,1,0,13239,628
"Banadir","Banadir","Hamar Weyn","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__hamar_weyn__friction_100m.tif","saved",0,1,0,26,39
"Banadir","Banadir","Bondere","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__bondere__friction_100m.tif","saved",0,1,0,57,74
"Banadir","Banadir","Waberi","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__waberi__friction_100m.tif","saved",0,1,0,2544,285
"Jubaland State","Lower Juba","Hagar","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__hagar__friction_100m.tif","saved",0,1,0,645303,4743
"Galmudug State","Galgadud","Galinsoor","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__galinsoor__friction_100m.tif","saved",0,1,0,204444,2794
"Galmudug State","Galgadud","El Dhere","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__galgadud__el_dhere__friction_100m.tif","saved",0,1,0,979059,4382
"Somaliland","Marodijeh","Baligubadle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__marodijeh__baligubadle__friction_100m.tif","saved",0,1,0,281085,3423
"Puntland","Bari","Alula","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__alula__friction_100m.tif","saved",0,1,0,566880,3817
"Puntland","Bari","Bargaal","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__bargaal__friction_100m.tif","saved",0,1,0,887710,5414
"Puntland","Bari","Bossaso","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__bossaso__friction_100m.tif","saved",0,1,0,1069921,5769
"Puntland","Bari","Iskushuban","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__iskushuban__friction_100m.tif","saved",0,1,0,1130141,6414
"Puntland","Bari","Qandala","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__qandala__friction_100m.tif","saved",0,1,0,1309034,6024
"Puntland","Bari","Ufeyn","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__bari__ufeyn__friction_100m.tif","saved",0,1,0,720129,4656
"South West State","Bakol","Wajid","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bakol__wajid__friction_100m.tif","saved",0,1,0,389430,4455
"South West State","Bakol","Tiyeglo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bakol__tiyeglo__friction_100m.tif","saved",0,1,0,850966,5948
"South West State","Bakol","Hudur","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bakol__hudur__friction_100m.tif","saved",0,1,0,705436,5347
"South West State","Bakol","Rabdure","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bakol__rabdure__friction_100m.tif","saved",0,1,0,340640,3365
"South West State","Bakol","El Barde","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__bakol__el_barde__friction_100m.tif","saved",0,1,0,921814,5472
"Somaliland","Awdal","Baki","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__awdal__baki__friction_100m.tif","saved",0,1,0,309668,4509
"Somaliland","Togdheer","Burao","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__togdheer__burao__friction_100m.tif","saved",0,1,0,1108893,9471
"Puntland","Mudug","Galkayu North","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__mudug__galkayu_north__friction_100m.tif","saved",0,1,0,476920,5152
"South West State","Lower Shabelle","Awdheegle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/south_west_state__lower_shabelle__awdheegle__friction_100m.tif","saved",0,1,0,211710,3877
"Banadir","Banadir","Dharkenly","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/banadir__banadir__dharkenly__friction_100m.tif","saved",0,1,0,2028,316
"Hir-Shabelle State","Middle Shabelle","Raga Elle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/hir_shabelle_state__middle_shabelle__raga_elle__friction_100m.tif","saved",0,1,0,117254,1896
"Jubaland State","Gedo","Garbaharey","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__garbaharey__friction_100m.tif","saved",0,1,0,536909,5150
"Jubaland State","Gedo","Dolo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__dolo__friction_100m.tif","saved",0,1,0,42605,1761
"Puntland","Karkar","Bender Bayla","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__karkar__bender_bayla__friction_100m.tif","saved",0,1,0,1695304,6469
"Puntland","Karkar","Gardo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__karkar__gardo__friction_100m.tif","saved",0,1,0,912003,5807
"Puntland","Karkar","Hafun","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__karkar__hafun__friction_100m.tif","saved",0,1,0,747692,4800
"Puntland","Karkar","Rako","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__karkar__rako__friction_100m.tif","saved",0,1,0,292469,3113
"Puntland","Karkar","Waciya","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__karkar__waciya__friction_100m.tif","saved",0,1,0,346054,3606
"Jubaland State","Gedo","Gedwein","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__gedo__gedwein__friction_100m.tif","saved",0,1,0,106942,2930
"Jubaland State","Lower Juba","Jilib West","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/jubaland_state__lower_juba__jilib_west__friction_100m.tif","saved",0,1,0,379436,4709
